Route_Link,Route_Name,Bus_names,Departingtime,Total_duration,Boardingtime,Star_Ratings,Prices,Seats_Available,Bus_type
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Shyamoli Paribahan Pvt Ltd,11:00,04h 00m,15:00,4.2,INR 486,25 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Greenline,11:30,04h 00m,15:30,3.9,INR 486,36 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),SHYAMOLI Pvt. Ltd.(Karunamoyee),12:00,04h 00m,16:00,4.5,INR 486,24 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Shyamoli Paribahan Pvt Ltd,12:00,04h 00m,16:00,4.2,INR 486,30 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Greenline,12:30,04h 00m,16:30,4.8,INR 486,37 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Greenline (Karunamoyee),13:00,04h 00m,17:00,4.5,INR 486,27 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Shyamoli Paribahan Pvt Ltd,13:00,04h 00m,17:00,3.9,INR 486,27 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),SHYAMOLI Pvt. Ltd.(Karunamoyee),14:00,04h 00m,18:00,4.4,INR 486,31 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Shyamoli Paribahan Pvt Ltd,14:00,04h 00m,18:00,4.3,INR 486,30 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Greenline,14:30,04h 00m,18:30,4.3,INR 486,37 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Shyamoli Paribahan Pvt Ltd,15:00,03h 00m,18:00,4.0,INR 486,16 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Greenline (Karunamoyee),15:00,04h 00m,19:00,4.6,INR 486,27 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Express Line (Karunamoyee),15:45,04h 00m,19:45,4.9,INR 486,23 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2)
